"Season","Conference","Date","Home","Away","Away_Rank","Home_Spread","Home_Score","Away_Score","Cover"
"2013-14","MWC","1/12/2014","AirForce","SanDiegoState",13,10.5,72,79,"Cover"
"2009-10","MWC","1/13/2010","AirForce","BYU",18,16,49,67,"No"
"2011-12","MWC","1/28/2012","AirForce","UNLV",12,10.5,63,65,"Cover"
"2012-13","MWC","2/16/2013","AirForce","ColoradoState",24,3.5,86,89,"Cover"
"2011-12","MWC","2/18/2012","AirForce","SanDiegoState",13,4.5,58,56,"Cover"
"2010-11","MWC","2/19/2011","AirForce","SanDiegoState",6,10.5,58,70,"No"
"2012-13","MWC","2/2/2013","AirForce","SanDiegoState",22,4,70,67,"Cover"
"2010-11","MWC","2/9/2011","AirForce","BYU",7,10,52,90,"No"
"2012-13","MWC","3/9/2013","AirForce","NewMexico",12,4,89,88,"Cover"
"2016-17","SEC","1/10/2017","Alabama","Florida",23,6,67,80,"No"
"2015-16","SEC","1/13/2016","Alabama","SouthCarolina",19,4,73,50,"Cover"
"2014-15","SEC","1/17/2015","Alabama","Kentucky",1,9.5,48,70,"No"
"2017-18","SEC","1/17/2018","Alabama","Auburn",17,5,76,71,"Cover"
"2010-11","SEC","1/18/2011","Alabama","Kentucky",12,5,68,66,"Cover"
"2009-10","SEC","1/19/2010","Alabama","Tennessee",8,2.5,56,63,"No"
"2009-10","SEC","1/23/2010","Alabama","MississippiSt",23,-1.5,62,57,"Cover"
"2013-14","SEC","1/23/2014","Alabama","Florida",6,6.5,62,68,"Cover"
"2007-08","SEC","1/29/2008","Alabama","Tennessee",7,5,86,93,"No"
"2015-16","SEC","1/9/2016","Alabama","Kentucky",9,6.5,61,77,"No"
"2017-18","SEC","12/30/2017","Alabama","TexasA&M",5,-1,79,57,"Cover"
"2015-16","SEC","2/10/2016","Alabama","TexasA&M",15,5,63,62,"Cover"
"2017-18","SEC","2/10/2018","Alabama","Tennessee",15,2,78,50,"Cover"
"2016-17","SEC","2/11/2017","Alabama","Kentucky",15,7.5,58,67,"No"
"2011-12","SEC","2/14/2012","Alabama","Florida",14,3.5,52,61,"No"
"2007-08","SEC","3/8/2008","Alabama","Vanderbilt",16,-2,78,73,"Cover"
"2009-10","Pac-10","1/10/2010","Arizona","WashingtonU",24,3,87,70,"Cover"
"2008-09","Pac-10","1/21/2009","Arizona","ArizonaState",17,3,47,53,"No"
"2007-08","Pac-10","1/24/2008","Arizona","WashingtonState",6,-2,76,64,"Cover"
"2008-09","Pac-10","1/29/2009","Arizona","WashingtonU",23,1,106,97,"Cover"
"2008-09","Pac-10","2/14/2009","Arizona","UCLA",11,5,84,72,"Cover"
"2007-08","Pac-10","2/16/2008","Arizona","Stanford",7,-2,66,67,"No"
"2007-08","Pac-10","3/2/2008","Arizona","UCLA",4,5,66,68,"Cover"
"2014-15","Pac-12","1/15/2015","ArizonaState","UtahU",8,4.5,59,76,"No"
"2012-13","Pac-12","1/19/2013","ArizonaState","Arizona",7,7,54,71,"No"
"2015-16","Pac-12","1/3/2016","ArizonaState","Arizona",8,3.5,82,94,"No"
"2015-16","Pac-12","1/31/2016","ArizonaState","Oregon",23,3,74,91,"No"
"2009-10","Pac-10","1/8/2010","ArizonaState","WashingtonU",24,-4,68,51,"Cover"
"2015-16","Pac-12","2/12/2016","ArizonaState","USC",23,-1,74,67,"Cover"
"2010-11","Pac-10","2/13/2011","ArizonaState","Arizona",15,4.5,52,67,"No"
"2007-08","Pac-10","2/14/2008","ArizonaState","Stanford",7,3,72,68,"Cover"
"2013-14","Pac-12","2/14/2014","ArizonaState","Arizona",2,5.5,69,66,"Cover"
"2016-17","Pac-12","2/23/2017","ArizonaState","UCLA",5,13,75,87,"Cover"
"2007-08","Pac-10","2/28/2008","ArizonaState","UCLA",4,6.5,49,70,"No"
"2014-15","Pac-12","2/7/2015","ArizonaState","Arizona",6,8,81,78,"Cover"
"2016-17","Pac-12","3/4/2017","ArizonaState","Arizona",7,8.5,60,73,"No"
"2015-16","Pac-12","3/5/2016","ArizonaState","California",25,6,65,68,"Cover"
"2013-14","SEC","1/11/2014","Arkansas","Florida",10,-3.5,82,84,"No"
"2013-14","SEC","1/14/2014","Arkansas","Kentucky",13,-1.5,87,85,"Cover"
"2015-16","SEC","1/21/2016","Arkansas","Kentucky",23,2.5,66,80,"No"
"2015-16","SEC","1/27/2016","Arkansas","TexasA&M",5,3.5,74,71,"Cover"
"2011-12","SEC","1/31/2012","Arkansas","Vanderbilt",25,3,82,74,"Cover"
"2011-12","SEC","1/7/2012","Arkansas","MississippiSt",15,1,98,88,"Cover"
"2016-17","SEC","12/29/2016","Arkansas","Florida",25,1.5,72,81,"No"
"2017-18","SEC","12/30/2017","Arkansas","Tennessee",19,-5,95,93,"No"
"2017-18","SEC","2/17/2018","Arkansas","TexasA&M",21,-3,94,75,"Cover"
"2008-09","SEC","2/18/2009","Arkansas","LSU",23,4,69,72,"Cover"
"2011-12","SEC","2/18/2012","Arkansas","Florida",14,5.5,68,98,"No"
"2007-08","SEC","2/2/2008","Arkansas","Florida",20,-4,80,61,"Cover"
"2010-11","SEC","2/23/2011","Arkansas","Kentucky",22,7,77,76,"Cover"
"2009-10","SEC","2/27/2010","Arkansas","Vanderbilt",16,2,72,89,"No"
"2017-18","SEC","2/27/2018","Arkansas","Auburn",14,1,91,82,"Cover"
"2012-13","SEC","2/5/2013","Arkansas","Florida",2,11,80,69,"Cover"
"2007-08","SEC","3/1/2008","Arkansas","Vanderbilt",18,-6.5,78,73,"No"
"2011-12","SEC","1/11/2012","Auburn","Kentucky",2,17,53,68,"Cover"
"2013-14","SEC","1/11/2014","Auburn","Missouri",21,1.5,68,70,"No"
"2009-10","SEC","1/16/2010","Auburn","Kentucky",2,10.5,67,72,"Cover"
"2015-16","SEC","1/16/2016","Auburn","Kentucky",14,12,75,70,"Cover"
"2013-14","SEC","1/18/2014","Auburn","Florida",7,8,61,68,"Cover"
"2007-08","SEC","1/19/2008","Auburn","Mississippi",18,6,80,77,"Cover"
"2012-13","SEC","1/26/2013","Auburn","Mississippi",23,7,61,63,"Cover"
"2009-10","SEC","1/28/2010","Auburn","Mississippi",18,4.5,74,84,"No"
