"","school","conf","season"
"1","air-force","MWC","2016-17"
"2","air-force","MWC","2015-16"
"3","akron","MAC","2016-17"
"4","akron","MAC","2015-16"
"5","alabama","SEC","2016-17"
"6","alabama","SEC","2015-16"
"7","alabama-state","SWAC","2016-17"
"8","alabama-state","SWAC","2015-16"
"9","alabama-birmingham","CUSA","2016-17"
"10","alabama-birmingham","CUSA","2015-16"
"11","alcorn-state","SWAC","2016-17"
"12","alcorn-state","SWAC","2015-16"
"13","american","Patriot","2016-17"
"14","american","Patriot","2015-16"
"15","appalachian-state","Sun Belt","2016-17"
"16","appalachian-state","Sun Belt","2015-16"
"17","arizona-state","Pac-12","2016-17"
"18","arizona-state","Pac-12","2015-16"
"19","arizona","Pac-12","2016-17"
"20","arizona","Pac-12","2015-16"
"21","arkansas","SEC","2016-17"
"22","arkansas","SEC","2015-16"
"23","arkansas-state","Sun Belt","2016-17"
"24","arkansas-state","Sun Belt","2015-16"
"25","arkansas-little-rock","Sun Belt","2016-17"
"26","arkansas-little-rock","Sun Belt","2015-16"
"27","army","Patriot","2016-17"
"28","army","Patriot","2015-16"
"29","auburn","SEC","2016-17"
"30","auburn","SEC","2015-16"
"31","austin-peay","OVC","2016-17"
"32","austin-peay","OVC","2015-16"
"33","ball-state","MAC","2016-17"
"34","ball-state","MAC","2015-16"
"35","baylor","Big 12","2016-17"
"36","baylor","Big 12","2015-16"
"37","bethune-cookman","MEAC","2016-17"
"38","bethune-cookman","MEAC","2015-16"
"39","boise-state","MWC","2016-17"
"40","boise-state","MWC","2015-16"
"41","boston-college","ACC","2016-17"
"42","boston-college","ACC","2015-16"
"43","boston-university","Patriot","2016-17"
"44","boston-university","Patriot","2015-16"
"45","bowling-green-state","MAC","2016-17"
"46","bowling-green-state","MAC","2015-16"
"47","bradley","MVC","2016-17"
"48","bradley","MVC","2015-16"
"49","brigham-young","WCC","2016-17"
"50","brigham-young","WCC","2015-16"
"51","brown","Ivy","2016-17"
"52","brown","Ivy","2015-16"
"53","bucknell","Patriot","2016-17"
"54","bucknell","Patriot","2015-16"
"55","buffalo","MAC","2016-17"
"56","buffalo","MAC","2015-16"
"57","butler","Big East","2016-17"
"58","butler","Big East","2015-16"
"59","cal-poly","Big West","2016-17"
"60","cal-poly","Big West","2015-16"
"61","cal-state-fullerton","Big West","2016-17"
"62","cal-state-fullerton","Big West","2015-16"
"63","cal-state-northridge","Big West","2016-17"
