"","Year","Date","Schl","Rk.","Opp","Rk..1","PTS","OPP","MOV"
"1","2017-18","3/3/2018","DePaul",NA,"Xavier",3,62,65,-3
"2","2017-18","3/3/2018","Florida",NA,"Kentucky",23,80,67,13
"3","2017-18","3/3/2018","Texas",NA,"West Virginia",20,87,79,8
"4","2017-18","3/3/2018","Syracuse",NA,"Clemson",18,55,52,3
"5","2017-18","3/3/2018","Oklahoma State",NA,"Kansas",6,82,64,18
"6","2017-18","3/3/2018","San Diego State",NA,"Nevada",21,79,74,5
"7","2017-18","3/2/2018","Davidson",NA,"Rhode Island",17,63,61,2
"8","2017-18","3/1/2018","Central Florida",NA,"Wichita State",11,71,75,-4
"9","2017-18","3/1/2018","Louisville",NA,"Virginia",1,66,67,-1
"10","2017-18","3/1/2018","Tulane",NA,"Cincinnati",10,49,78,-29
"11","2017-18","2/28/2018","Seton Hall",NA,"Villanova",4,68,69,-1
"12","2017-18","2/28/2018","Southern Methodist",NA,"Houston",25,56,69,-13
"13","2017-18","2/28/2018","Nevada-Las Vegas",NA,"Nevada",21,75,101,-26
"14","2017-18","2/27/2018","Mississippi State",NA,"Tennessee",16,54,76,-22
"15","2017-18","2/27/2018","Arkansas",NA,"Auburn",14,91,82,9
"16","2017-18","2/26/2018","Virginia Tech",NA,"Duke",5,64,63,1
"17","2017-18","2/25/2018","Wisconsin",NA,"Michigan State",2,63,68,-5
"18","2017-18","2/25/2018","North Carolina State",NA,"Florida State",25,92,72,20
"19","2017-18","2/24/2018","Maryland",NA,"Michigan",17,61,85,-24
"20","2017-18","2/24/2018","Mississippi",NA,"Tennessee",19,65,73,-8
"21","2017-18","2/24/2018","Creighton",NA,"Villanova",3,89,83,6
"22","2017-18","2/24/2018","Southern Methodist",NA,"Wichita State",13,78,84,-6
"23","2017-18","2/24/2018","Pittsburgh",NA,"Virginia",1,37,66,-29
"24","2017-18","2/24/2018","Brigham Young",NA,"Gonzaga",6,65,79,-14
"25","2017-18","2/24/2018","Florida",NA,"Auburn",12,72,66,6
"26","2017-18","2/24/2018","Oregon",NA,"Arizona",14,98,93,5
"27","2017-18","2/23/2018","Indiana",NA,"Ohio State",16,78,80,-2
"28","2017-18","2/22/2018","Illinois",NA,"Purdue",9,86,93,-7
"29","2017-18","2/22/2018","Memphis",NA,"Houston",23,91,85,6
"30","2017-18","2/22/2018","Oregon State",NA,"Arizona",14,65,75,-10
"31","2017-18","2/22/2018","San Diego",NA,"Gonzaga",6,72,77,-5
"32","2017-18","2/21/2018","Georgetown",NA,"Xavier",4,77,89,-12
"33","2017-18","2/21/2018","Oklahoma State",NA,"Texas Tech",6,79,71,8
"34","2017-18","2/21/2018","Penn State",NA,"Michigan",17,63,72,-9
"35","2017-18","2/21/2018","Syracuse",NA,"North Carolina",10,74,78,-4
"36","2017-18","2/21/2018","Virginia Tech",NA,"Clemson",15,65,58,7
"37","2017-18","2/20/2018","Baylor",NA,"West Virginia",21,60,71,-11
"38","2017-18","2/20/2018","La Salle",NA,"Rhode Island",18,93,95,-2
"39","2017-18","2/17/2018","Northwestern",NA,"Michigan State",2,60,65,-5
"40","2017-18","2/17/2018","South Carolina",NA,"Auburn",10,84,75,9
"41","2017-18","2/17/2018","Arkansas",NA,"Texas A&M",21,94,75,19
